Genes	GO_term	GO_id	TAIR_id	category	GO_slim
AT1G01830	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01840	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01860	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity	GO:0016422	3088.0	func	catalytic activity | transferase activity
AT1G01880	crossover junction endodeoxyribonuclease activity	GO:0008821	2009.0	func	catalytic activity | nuclease activity
AT1G01900	serine-type endopeptidase activity	GO:0004252	4112.0	func	hydrolase activity | catalytic activity
AT1G01910	ATPase activity	GO:0016887	907.0	func	hydrolase activity
AT1G01920	protein binding	GO:0005515	3877.0	func	protein binding
AT1G01940	peptidyl-prolyl cis-trans isomerase activity	GO:0003755	3623.0	func	catalytic activity
AT1G01950	ATP-dependent microtubule motor activity, plus-end-directed	GO:0008574	3777.0	func	motor activity | hydrolase activity
AT1G01960	ARF guanyl-nucleotide exchange factor activity	GO:0005086	890.0	func	protein binding
AT1G01970	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G01980	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	GO:0016899	3550.0	func	catalytic activity
AT1G01990	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02000	UDP-glucuronate 4-epimerase activity	GO:0050378	16424.0	func	catalytic activity
AT1G02010	syntaxin binding	GO:0019905	9745.0	func	protein binding
AT1G02020	oxidoreductase activity	GO:0016491	3460.0	func	catalytic activity
AT1G02030	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G02040	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G02050	protein binding	GO:0005515	3877.0	func	protein binding
AT1G02065	DNA binding	GO:0003677	961.0	func	DNA binding
AT1G02080	molecular adaptor activity	GO:0060090	26897.0	func	other molecular functions
AT1G02090	protein binding	GO:0005515	3877.0	func	protein binding
AT1G02100	S-adenosylmethionine-dependent methyltransferase activity	GO:0008757	1241.0	func	transferase activity
AT1G02110	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02130	GTPase activity	GO:0003924	1041.0	func	hydrolase activity
AT1G02140	protein binding	GO:0005515	3877.0	func	protein binding
AT1G02145	alpha-1,6-mannosyltransferase activity	GO:0000009	1460.0	func	transferase activity
AT1G02150	mRNA binding	GO:0003729	3091.0	func	RNA binding
AT1G02160	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02170	cysteine-type endopeptidase activity	GO:0004197	2042.0	func	hydrolase activity | catalytic activity
AT1G02180	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02190	oxidoreductase activity	GO:0016491	3460.0	func	catalytic activity
AT1G02205	aldehyde decarbonylase activity	GO:0071771	35016.0	func	catalytic activity
AT1G02210	DNA binding	GO:0003677	961.0	func	DNA binding
AT1G02220	protein binding	GO:0005515	3877.0	func	protein binding
AT1G02230	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G02250	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G02270	calcium ion binding	GO:0005509	1755.0	func	other binding
AT1G02280	protein homodimerization activity	GO:0042803	15211.0	func	protein binding
AT1G02290	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02300	cysteine-type endopeptidase activity	GO:0004197	2042.0	func	catalytic activity | hydrolase activity
AT1G02305	cysteine-type endopeptidase activity	GO:0004197	2042.0	func	hydrolase activity | catalytic activity
AT1G02310	mannan endo-1,4-beta-mannosidase activity	GO:0016985	3135.0	func	hydrolase activity
AT1G02320	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02330	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02335	nutrient reservoir activity	GO:0045735	12447.0	func	other molecular functions
AT1G02340	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G02350	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02360	chitinase activity	GO:0004568	1902.0	func	hydrolase activity
AT1G02370	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02380	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02390	glycerol-3-phosphate 2-O-acyltransferase activity	GO:0090447	43588.0	func	transferase activity
AT1G02400	oxidoreductase activity	GO:0016491	3460.0	func	catalytic activity
AT1G02405	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02410	protein self-association	GO:0043621	22766.0	func	protein binding
AT1G02420	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02430	GTP binding	GO:0005525	1035.0	func	nucleotide binding | other binding
AT1G02440	GTP binding	GO:0005525	1035.0	func	nucleotide binding | other binding
AT1G02450	protein binding	GO:0005515	3877.0	func	protein binding
AT1G02460	polygalacturonase activity	GO:0004650	3789.0	func	hydrolase activity
AT1G02470	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02475	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02490	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02500	methionine adenosyltransferase activity	GO:0004478	3183.0	func	transferase activity
AT1G02510	outward rectifier potassium channel activity	GO:0015271	3454.0	func	transporter activity
AT1G02520	ATPase-coupled transmembrane transporter activity	GO:0042626	14104.0	func	transporter activity
AT1G02530	ATPase activity	GO:0016887	907.0	func	hydrolase activity
AT1G02540	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02550	pectinesterase activity	GO:0030599	10939.0	func	hydrolase activity
AT1G02560	ATPase binding	GO:0051117	19112.0	func	protein binding
AT1G02570	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02575	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02580	sequence-specific DNA binding	GO:0043565	22416.0	func	DNA binding
AT1G02590	oxidoreductase activity	GO:0016491	3460.0	func	catalytic activity
AT1G02610	ubiquitin-protein transferase activity	GO:0004842	4573.0	func	transferase activity | catalytic activity
AT1G02630	nucleoside transmembrane transporter activity	GO:0005337	3384.0	func	transporter activity
AT1G02640	alpha-L-arabinofuranosidase activity	GO:0046556	13442.0	func	hydrolase activity
AT1G02660	galactolipase activity	GO:0047714	16308.0	func	hydrolase activity
AT1G02670	ATP binding	GO:0005524	894.0	func	nucleotide binding | other binding
AT1G02680	protein heterodimerization activity	GO:0046982	15254.0	func	protein binding
AT1G02690	nuclear import signal receptor activity	GO:0061608	47584.0	func	transporter activity
AT1G02700	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02705	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02710	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02720	polygalacturonate 4-alpha-galacturonosyltransferase activity	GO:0047262	15838.0	func	transferase activity
AT1G02730	cellulose synthase (UDP-forming) activity	GO:0016760	1884.0	func	transferase activity
AT1G02740	euchromatin binding	GO:1990188	46663.0	func	chromatin binding
AT1G02770	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02780	mRNA binding	GO:0003729	3091.0	func	RNA binding
AT1G02790	galacturan 1,4-alpha-galacturonidase activity	GO:0047911	16374.0	func	hydrolase activity
AT1G02800	cellulase activity	GO:0008810	1880.0	func	hydrolase activity
AT1G02810	pectinesterase activity	GO:0030599	10939.0	func	hydrolase activity
AT1G02816	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02820	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02830	RNA binding	GO:0003723	1217.0	func	RNA binding
AT1G02840	protein binding	GO:0005515	3877.0	func	protein binding
AT1G02850	beta-glucosidase activity	GO:0008422	1673.0	func	hydrolase activity
AT1G02860	ubiquitin-protein transferase activity	GO:0004842	4573.0	func	catalytic activity | transferase activity
AT1G02870	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02880	thiamine diphosphokinase activity	GO:0004788	4392.0	func	transferase activity
AT1G02890	ATP binding	GO:0005524	894.0	func	nucleotide binding | other binding
AT1G02900	hormone activity	GO:0005179	2737.0	func	signaling receptor binding
AT1G02920	glutathione binding	GO:0043295	19809.0	func	other binding
AT1G02930	glutathione transferase activity	GO:0004364	2545.0	func	transferase activity
AT1G02940	glutathione transferase activity	GO:0004364	2545.0	func	transferase activity
AT1G02950	glutathione binding	GO:0043295	19809.0	func	other binding
AT1G02965	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G02970	protein kinase activity	GO:0004672	3889.0	func	kinase activity | transferase activity | catalytic activity
AT1G02980	protein binding	GO:0005515	3877.0	func	protein binding
AT1G02990	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03000	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03020	protein disulfide oxidoreductase activity	GO:0015035	3882.0	func	catalytic activity
AT1G03030	kinase activity	GO:0016301	2953.0	func	kinase activity
AT1G03040	DNA-binding transcription activator activity, RNA polymerase II-specific	GO:0001228	40764.0	func	DNA-binding transcription factor activity
AT1G03050	SNARE binding	GO:0000149	1257.0	func	protein binding
AT1G03060	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03070	glutamate binding	GO:0016595	2505.0	func	other binding
AT1G03080	actin filament binding	GO:0051015	18617.0	func	protein binding | other binding
AT1G03090	methylcrotonoyl-CoA carboxylase activity	GO:0004485	3194.0	func	catalytic activity
AT1G03100	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03103	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03106	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03110	tRNA (guanine-N7-)-methyltransferase activity	GO:0008176	4339.0	func	transferase activity | catalytic activity
AT1G03130	mRNA binding	GO:0003729	3091.0	func	RNA binding
AT1G03150	peptide alpha-N-acetyltransferase activity	GO:0004596	3604.0	func	transferase activity
AT1G03160	GTP binding	GO:0005525	1035.0	func	nucleotide binding | other binding
AT1G03170	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03180	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03190	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03200	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03210	catalytic activity	GO:0003824	2265.0	func	catalytic activity
AT1G03220	aspartic-type endopeptidase activity	GO:0004190	1621.0	func	catalytic activity | hydrolase activity
AT1G03230	aspartic-type endopeptidase activity	GO:0004190	1621.0	func	catalytic activity | hydrolase activity
AT1G03240	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03250	nucleic acid binding	GO:0003676	3376.0	func	nucleic acid binding
AT1G03270	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03280	RNA polymerase II complex binding	GO:0000993	35784.0	func	protein binding
AT1G03290	DNA-binding transcription activator activity, RNA polymerase II-specific	GO:0001228	40764.0	func	DNA-binding transcription factor activity
AT1G03310	isoamylase activity	GO:0019156	8011.0	func	hydrolase activity | catalytic activity
AT1G03320	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03325	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03330	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03340	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03350	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03360	RNA binding	GO:0003723	1217.0	func	RNA binding
AT1G03380	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03390	transferase activity, transferring acyl groups other than amino-acyl groups	GO:0016747	4465.0	func	transferase activity
AT1G03400	1-aminocyclopropane-1-carboxylate oxidase activity	GO:0009815	744.0	func	catalytic activity
AT1G03430	histidine phosphotransfer kinase activity	GO:0009927	11964.0	func	transferase activity | kinase activity | catalytic activity
AT1G03445	protein serine/threonine phosphatase activity	GO:0004722	3908.0	func	catalytic activity | hydrolase activity
AT1G03457	mRNA binding	GO:0003729	3091.0	func	RNA binding
AT1G03470	actin binding	GO:0003779	1353.0	func	protein binding
AT1G03475	protein homodimerization activity	GO:0042803	15211.0	func	protein binding
AT1G03490	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G03510	RNA binding	GO:0003723	1217.0	func	RNA binding
AT1G03520	transferase activity, transferring glycosyl groups	GO:0016757	14916.0	func	transferase activity
AT1G03530	RNA binding	GO:0003723	1217.0	func	RNA binding
AT1G03540	RNA binding	GO:0003723	1217.0	func	RNA binding
AT1G03590	protein serine/threonine phosphatase activity	GO:0004722	3908.0	func	catalytic activity | hydrolase activity
AT1G03610	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03620	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03630	NADPH dehydrogenase activity	GO:0003959	1156.0	func	catalytic activity
AT1G03650	N-acetyltransferase activity	GO:0008080	1124.0	func	transferase activity
AT1G03660	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03670	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03680	protein disulfide oxidoreductase activity	GO:0015035	3882.0	func	catalytic activity
AT1G03687	tRNA-uridine aminocarboxypropyltransferase activity	GO:0016432	4360.0	func	transferase activity | catalytic activity
AT1G03700	4 iron, 4 sulfur cluster binding	GO:0051539	21612.0	func	other binding
AT1G03720	cysteine-type peptidase activity	GO:0008234	2043.0	func	hydrolase activity | catalytic activity
AT1G03730	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03740	RNA polymerase II CTD heptapeptide repeat kinase activity	GO:0008353	1306.0	func	transferase activity | kinase activity | catalytic activity
AT1G03760	phosphatase inhibitor activity	GO:0019212	9655.0	func	enzyme regulator activity
AT1G03770	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03780	protein kinase activator activity	GO:0030295	8568.0	func	enzyme regulator activity
AT1G03790	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03800	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G03810	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03820	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03830	GTP binding	GO:0005525	1035.0	func	other binding | nucleotide binding
AT1G03840	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03850	electron transfer activity	GO:0009055	2223.0	func	catalytic activity
AT1G03860	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03880	nutrient reservoir activity	GO:0045735	12447.0	func	other molecular functions
AT1G03890	nutrient reservoir activity	GO:0045735	12447.0	func	other molecular functions
AT1G03900	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03905	ATPase activity	GO:0016887	907.0	func	hydrolase activity
AT1G03910	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03920	kinase activity	GO:0016301	2953.0	func	kinase activity
AT1G03930	protein serine/threonine/tyrosine kinase activity	GO:0004712	3912.0	func	transferase activity | kinase activity | catalytic activity
AT1G03940	transferase activity, transferring acyl groups other than amino-acyl groups	GO:0016747	4465.0	func	transferase activity
AT1G03960	calcium ion binding	GO:0005509	1755.0	func	other binding
AT1G03970	protein binding	GO:0005515	3877.0	func	protein binding
AT1G03980	glutathione gamma-glutamylcysteinyltransferase activity	GO:0016756	2541.0	func	transferase activity | catalytic activity
AT1G03982	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G03990	flavin adenine dinucleotide binding	GO:0050660	17564.0	func	other binding | nucleotide binding
AT1G04000	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04010	phosphatidylcholine-sterol O-acyltransferase activity	GO:0004607	3657.0	func	transferase activity
AT1G04020	ubiquitin-protein transferase activity	GO:0004842	4573.0	func	catalytic activity | transferase activity
AT1G04030	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04040	acid phosphatase activity	GO:0003993	1343.0	func	hydrolase activity
AT1G04050	zinc ion binding	GO:0008270	4661.0	func	other binding
AT1G04070	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	GO:0015450	3913.0	func	transporter activity
AT1G04090	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04100	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04105	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04110	serine-type endopeptidase activity	GO:0004252	4112.0	func	hydrolase activity | catalytic activity
AT1G04120	ATPase-coupled transmembrane transporter activity	GO:0042626	14104.0	func	transporter activity
AT1G04130	Hsp90 protein binding	GO:0051879	22743.0	func	protein binding
AT1G04160	microfilament motor activity	GO:0000146	3213.0	func	motor activity
AT1G04170	translation initiation factor activity	GO:0003743	4485.0	func	translation factor activity, RNA binding
AT1G04180	N,N-dimethylaniline monooxygenase activity	GO:0004499	2165.0	func	catalytic activity
AT1G04190	Hsp90 protein binding	GO:0051879	22743.0	func	protein binding
AT1G04200	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04210	ATP binding	GO:0005524	894.0	func	nucleotide binding | other binding
AT1G04220	3-oxo-arachidoyl-CoA synthase activity	GO:0102336	51888.0	func	transferase activity
AT1G04230	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04240	identical protein binding	GO:0042802	15210.0	func	protein binding
AT1G04250	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04260	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04270	structural constituent of ribosome	GO:0003735	4271.0	func	structural molecule activity
AT1G04280	NAD+ kinase activity	GO:0003951	1140.0	func	transferase activity | kinase activity
AT1G04290	acyl-CoA hydrolase activity	GO:0047617	16032.0	func	hydrolase activity
AT1G04300	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04310	identical protein binding	GO:0042802	15210.0	func	protein binding
AT1G04330	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04340	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04350	2-oxoglutarate-dependent dioxygenase activity	GO:0016706	3496.0	func	catalytic activity
AT1G04370	DNA-binding transcription factor activity	GO:0003700	4449.0	func	DNA-binding transcription factor activity
AT1G04380	2-oxoglutarate-dependent dioxygenase activity	GO:0016706	3496.0	func	catalytic activity
AT1G04400	FAD binding	GO:0071949	35892.0	func	nucleotide binding | other binding
AT1G04410	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04440	protein serine/threonine kinase activity	GO:0004674	3907.0	func	catalytic activity | kinase activity | transferase activity
AT1G04445	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04450	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04470	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04480	mRNA binding	GO:0003729	3091.0	func	RNA binding
AT1G04490	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04500	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04510	ubiquitin-protein transferase activity	GO:0004842	4573.0	func	catalytic activity | transferase activity
AT1G04520	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04550	identical protein binding	GO:0042802	15210.0	func	protein binding
AT1G04555	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04560	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04570	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04580	benzaldehyde dehydrogenase (NAD+) activity	GO:0018479	8390.0	func	catalytic activity
AT1G04590	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04600	actin filament binding	GO:0051015	18617.0	func	protein binding | other binding
AT1G04610	NADP binding	GO:0050661	17565.0	func	nucleotide binding
AT1G04620	7-hydroxymethyl chlorophyll a reductase activity	GO:0090415	39187.0	func	catalytic activity
AT1G04625	RNA-DNA hybrid ribonuclease activity	GO:0004523	4049.0	func	catalytic activity | nuclease activity
AT1G04630	NADH dehydrogenase (ubiquinone) activity	GO:0008137	1152.0	func	catalytic activity
AT1G04635	ribonuclease P activity	GO:0004526	4053.0	func	nuclease activity | catalytic activity
AT1G04640	lipoyl(octanoyl) transferase activity	GO:0033819	28597.0	func	transferase activity
AT1G04645	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04650	protein binding	GO:0005515	3877.0	func	protein binding
AT1G04660	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04670	molecular_function_unknown	GO:0003674	3226.0	func	unknown molecular functions
AT1G04680	lyase activity	GO:0016829	3071.0	func	catalytic activity
AT1G04700	protein kinase activity	GO:0004672	3889.0	func	catalytic activity | transferase activity | kinase activity
AT1G04710	protein binding	GO:0005515	3877.0	func	protein binding
