	Genes	GO_term	GO_id	TAIR_id	GO_slim
47	AT1G01510	metal ion binding	0046872	13966.0	other binding
48	AT1G01520	phosphoglycerate dehydrogenase activity	0004617	3695.0	catalytic activity
49	AT1G01530	protein binding	0005515	3877.0	protein binding
50	AT1G01540	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
51	AT1G01550	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
52	AT1G01560	protein serine/threonine kinase activity	0004674	3907.0	transferase activity | catalytic activity | kinase activity
53	AT1G01570	molecular_function_unknown	0003674	3226.0	unknown molecular functions
54	AT1G01580	MAP kinase activity	0004707	1091.0	kinase activity | transferase activity | catalytic activity
55	AT1G01590	acetylglucosaminyltransferase activity	0008375	1338.0	transferase activity
56	AT1G01600	ferric-chelate reductase activity	0000293	10957.0	catalytic activity
57	AT1G01610	ferric-chelate reductase activity	0000293	10957.0	catalytic activity
58	AT1G01620	iron ion binding	0005506	2918.0	other binding
59	AT1G01630	glycerol-3-phosphate 2-O-acyltransferase activity	0090447	43588.0	transferase activity
60	AT1G01640	protein binding	0005515	3877.0	protein binding
61	AT1G01650	protein binding	0005515	3877.0	protein binding
62	AT1G01660	aspartic endopeptidase activity, intramembrane cleaving	0042500	12785.0	hydrolase activity | catalytic activity
63	AT1G01670	ubiquitin-protein transferase activity	0004842	4573.0	catalytic activity | transferase activity
64	AT1G01680	ubiquitin-protein transferase activity	0004842	4573.0	catalytic activity | transferase activity
65	AT1G01690	ubiquitin-protein transferase activity	0004842	4573.0	catalytic activity | transferase activity
66	AT1G01695	molecular_function_unknown	0003674	3226.0	unknown molecular functions
67	AT1G01700	Rho guanyl-nucleotide exchange factor activity	0005089	1214.0	protein binding
68	AT1G01710	acyl-CoA hydrolase activity	0047617	16032.0	hydrolase activity
69	AT1G01715	transcription regulatory region sequence-specific DNA binding	0000976	35767.0	DNA binding | nucleic acid binding
70	AT1G01720	molecular_function_unknown	0003674	3226.0	unknown molecular functions
71	AT1G01725	molecular_function_unknown	0003674	3226.0	unknown molecular functions
72	AT1G01730	ATP binding	0005524	894.0	other binding | nucleotide binding
73	AT1G01740	actin filament binding	0051015	18617.0	other binding | protein binding
74	AT1G01750	double-stranded RNA adenosine deaminase activity	0003726	2201.0	hydrolase activity
75	AT1G01760	actin filament binding	0051015	18617.0	other binding | protein binding
76	AT1G01770	potassium:proton antiporter activity	0015386	3813.0	transporter activity
77	AT1G01780	molecular_function_unknown	0003674	3226.0	unknown molecular functions
78	AT1G01790	protein binding	0005515	3877.0	protein binding
79	AT1G01800	molecular_function_unknown	0003674	3226.0	unknown molecular functions
80	AT1G01810	molecular_function_unknown	0003674	3226.0	unknown molecular functions
81	AT1G01820	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity	0016422	3088.0	catalytic activity | transferase activity
82	AT1G01830	crossover junction endodeoxyribonuclease activity	0008821	2009.0	catalytic activity | nuclease activity
83	AT1G01840	serine-type endopeptidase activity	0004252	4112.0	hydrolase activity | catalytic activity
84	AT1G01860	ATPase activity	0016887	907.0	hydrolase activity
85	AT1G01880	protein binding	0005515	3877.0	protein binding
86	AT1G01900	peptidyl-prolyl cis-trans isomerase activity	0003755	3623.0	catalytic activity
87	AT1G01910	ATP-dependent microtubule motor activity, plus-end-directed	0008574	3777.0	motor activity | hydrolase activity
88	AT1G01920	ARF guanyl-nucleotide exchange factor activity	0005086	890.0	protein binding
89	AT1G01930	molecular_function_unknown	0003674	3226.0	unknown molecular functions
90	AT1G01940	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	0016899	3550.0	catalytic activity
91	AT1G01950	molecular_function_unknown	0003674	3226.0	unknown molecular functions
92	AT1G01960	UDP-glucuronate 4-epimerase activity	0050378	16424.0	catalytic activity
93	AT1G01970	syntaxin binding	0019905	9745.0	protein binding
94	AT1G01990	oxidoreductase activity	0016491	3460.0	catalytic activity
95	AT1G02000	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
96	AT1G02010	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
97	AT1G02020	protein binding	0005515	3877.0	protein binding
98	AT1G02030	DNA binding	0003677	961.0	DNA binding
99	AT1G02040	molecular adaptor activity	0060090	26897.0	other molecular functions
100	AT1G02050	protein binding	0005515	3877.0	protein binding
101	AT1G02060	S-adenosylmethionine-dependent methyltransferase activity	0008757	1241.0	transferase activity
102	AT1G02065	molecular_function_unknown	0003674	3226.0	unknown molecular functions
103	AT1G02070	GTPase activity	0003924	1041.0	hydrolase activity
104	AT1G02080	protein binding	0005515	3877.0	protein binding
105	AT1G02090	alpha-1,6-mannosyltransferase activity	0000009	1460.0	transferase activity
106	AT1G02100	mRNA binding	0003729	3091.0	RNA binding
107	AT1G02110	molecular_function_unknown	0003674	3226.0	unknown molecular functions
108	AT1G02120	cysteine-type endopeptidase activity	0004197	2042.0	hydrolase activity | catalytic activity
109	AT1G02130	molecular_function_unknown	0003674	3226.0	unknown molecular functions
110	AT1G02140	oxidoreductase activity	0016491	3460.0	catalytic activity
111	AT1G02145	aldehyde decarbonylase activity	0071771	35016.0	catalytic activity
112	AT1G02150	DNA binding	0003677	961.0	DNA binding
113	AT1G02160	protein binding	0005515	3877.0	protein binding
114	AT1G02170	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
115	AT1G02180	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
116	AT1G02190	calcium ion binding	0005509	1755.0	other binding
117	AT1G02205	protein homodimerization activity	0042803	15211.0	protein binding
118	AT1G02220	molecular_function_unknown	0003674	3226.0	unknown molecular functions
119	AT1G02230	cysteine-type endopeptidase activity	0004197	2042.0	catalytic activity | hydrolase activity
120	AT1G02250	cysteine-type endopeptidase activity	0004197	2042.0	hydrolase activity | catalytic activity
121	AT1G02260	mannan endo-1,4-beta-mannosidase activity	0016985	3135.0	hydrolase activity
122	AT1G02270	molecular_function_unknown	0003674	3226.0	unknown molecular functions
123	AT1G02280	molecular_function_unknown	0003674	3226.0	unknown molecular functions
124	AT1G02290	nutrient reservoir activity	0045735	12447.0	other molecular functions
125	AT1G02300	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
126	AT1G02305	molecular_function_unknown	0003674	3226.0	unknown molecular functions
127	AT1G02310	chitinase activity	0004568	1902.0	hydrolase activity
128	AT1G02330	molecular_function_unknown	0003674	3226.0	unknown molecular functions
129	AT1G02335	molecular_function_unknown	0003674	3226.0	unknown molecular functions
130	AT1G02340	glycerol-3-phosphate 2-O-acyltransferase activity	0090447	43588.0	transferase activity
131	AT1G02350	oxidoreductase activity	0016491	3460.0	catalytic activity
132	AT1G02360	molecular_function_unknown	0003674	3226.0	unknown molecular functions
133	AT1G02370	protein self-association	0043621	22766.0	protein binding
134	AT1G02380	molecular_function_unknown	0003674	3226.0	unknown molecular functions
135	AT1G02390	GTP binding	0005525	1035.0	nucleotide binding | other binding
136	AT1G02400	GTP binding	0005525	1035.0	nucleotide binding | other binding
137	AT1G02405	protein binding	0005515	3877.0	protein binding
138	AT1G02410	polygalacturonase activity	0004650	3789.0	hydrolase activity
139	AT1G02420	molecular_function_unknown	0003674	3226.0	unknown molecular functions
140	AT1G02430	molecular_function_unknown	0003674	3226.0	unknown molecular functions
141	AT1G02440	molecular_function_unknown	0003674	3226.0	unknown molecular functions
142	AT1G02450	methionine adenosyltransferase activity	0004478	3183.0	transferase activity
143	AT1G02460	outward rectifier potassium channel activity	0015271	3454.0	transporter activity
144	AT1G02470	ATPase-coupled transmembrane transporter activity	0042626	14104.0	transporter activity
145	AT1G02475	ATPase activity	0016887	907.0	hydrolase activity
146	AT1G02490	molecular_function_unknown	0003674	3226.0	unknown molecular functions
147	AT1G02500	pectinesterase activity	0030599	10939.0	hydrolase activity
148	AT1G02520	ATPase binding	0051117	19112.0	protein binding
149	AT1G02530	molecular_function_unknown	0003674	3226.0	unknown molecular functions
150	AT1G02560	molecular_function_unknown	0003674	3226.0	unknown molecular functions
151	AT1G02570	sequence-specific DNA binding	0043565	22416.0	DNA binding
152	AT1G02580	oxidoreductase activity	0016491	3460.0	catalytic activity
153	AT1G02610	ubiquitin-protein transferase activity	0004842	4573.0	transferase activity | catalytic activity
154	AT1G02620	nucleoside transmembrane transporter activity	0005337	3384.0	transporter activity
155	AT1G02630	alpha-L-arabinofuranosidase activity	0046556	13442.0	hydrolase activity
156	AT1G02640	galactolipase activity	0047714	16308.0	hydrolase activity
157	AT1G02650	ATP binding	0005524	894.0	nucleotide binding | other binding
158	AT1G02660	protein heterodimerization activity	0046982	15254.0	protein binding
159	AT1G02670	nuclear import signal receptor activity	0061608	47584.0	transporter activity
160	AT1G02680	molecular_function_unknown	0003674	3226.0	unknown molecular functions
161	AT1G02690	molecular_function_unknown	0003674	3226.0	unknown molecular functions
162	AT1G02700	molecular_function_unknown	0003674	3226.0	unknown molecular functions
163	AT1G02705	polygalacturonate 4-alpha-galacturonosyltransferase activity	0047262	15838.0	transferase activity
164	AT1G02720	cellulose synthase (UDP-forming) activity	0016760	1884.0	transferase activity
165	AT1G02730	euchromatin binding	1990188	46663.0	chromatin binding
166	AT1G02740	molecular_function_unknown	0003674	3226.0	unknown molecular functions
167	AT1G02750	mRNA binding	0003729	3091.0	RNA binding
168	AT1G02770	galacturan 1,4-alpha-galacturonidase activity	0047911	16374.0	hydrolase activity
169	AT1G02780	cellulase activity	0008810	1880.0	hydrolase activity
170	AT1G02800	pectinesterase activity	0030599	10939.0	hydrolase activity
171	AT1G02810	molecular_function_unknown	0003674	3226.0	unknown molecular functions
172	AT1G02816	molecular_function_unknown	0003674	3226.0	unknown molecular functions
173	AT1G02820	RNA binding	0003723	1217.0	RNA binding
174	AT1G02840	protein binding	0005515	3877.0	protein binding
175	AT1G02850	beta-glucosidase activity	0008422	1673.0	hydrolase activity
176	AT1G02860	ubiquitin-protein transferase activity	0004842	4573.0	catalytic activity | transferase activity
177	AT1G02870	molecular_function_unknown	0003674	3226.0	unknown molecular functions
178	AT1G02880	thiamine diphosphokinase activity	0004788	4392.0	transferase activity
179	AT1G02890	ATP binding	0005524	894.0	nucleotide binding | other binding
180	AT1G02900	hormone activity	0005179	2737.0	signaling receptor binding
181	AT1G02910	glutathione binding	0043295	19809.0	other binding
182	AT1G02920	glutathione transferase activity	0004364	2545.0	transferase activity
183	AT1G02930	glutathione transferase activity	0004364	2545.0	transferase activity
184	AT1G02940	glutathione binding	0043295	19809.0	other binding
185	AT1G02950	molecular_function_unknown	0003674	3226.0	unknown molecular functions
186	AT1G02960	protein kinase activity	0004672	3889.0	kinase activity | transferase activity | catalytic activity
187	AT1G02970	protein binding	0005515	3877.0	protein binding
188	AT1G02990	molecular_function_unknown	0003674	3226.0	unknown molecular functions
189	AT1G03000	protein binding	0005515	3877.0	protein binding
190	AT1G03010	protein disulfide oxidoreductase activity	0015035	3882.0	catalytic activity
191	AT1G03020	kinase activity	0016301	2953.0	kinase activity
192	AT1G03030	DNA-binding transcription activator activity, RNA polymerase II-specific	0001228	40764.0	DNA-binding transcription factor activity
193	AT1G03040	SNARE binding	0000149	1257.0	protein binding
194	AT1G03050	protein binding	0005515	3877.0	protein binding
195	AT1G03055	glutamate binding	0016595	2505.0	other binding
196	AT1G03060	actin filament binding	0051015	18617.0	protein binding | other binding
197	AT1G03070	methylcrotonoyl-CoA carboxylase activity	0004485	3194.0	catalytic activity
198	AT1G03080	molecular_function_unknown	0003674	3226.0	unknown molecular functions
199	AT1G03090	molecular_function_unknown	0003674	3226.0	unknown molecular functions
200	AT1G03100	molecular_function_unknown	0003674	3226.0	unknown molecular functions
201	AT1G03110	tRNA (guanine-N7-)-methyltransferase activity	0008176	4339.0	transferase activity | catalytic activity
202	AT1G03120	mRNA binding	0003729	3091.0	RNA binding
203	AT1G03130	peptide alpha-N-acetyltransferase activity	0004596	3604.0	transferase activity
204	AT1G03140	GTP binding	0005525	1035.0	nucleotide binding | other binding
205	AT1G03150	molecular_function_unknown	0003674	3226.0	unknown molecular functions
206	AT1G03160	molecular_function_unknown	0003674	3226.0	unknown molecular functions
207	AT1G03165	protein binding	0005515	3877.0	protein binding
208	AT1G03170	molecular_function_unknown	0003674	3226.0	unknown molecular functions
209	AT1G03180	catalytic activity	0003824	2265.0	catalytic activity
210	AT1G03190	aspartic-type endopeptidase activity	0004190	1621.0	catalytic activity | hydrolase activity
211	AT1G03200	aspartic-type endopeptidase activity	0004190	1621.0	catalytic activity | hydrolase activity
212	AT1G03210	molecular_function_unknown	0003674	3226.0	unknown molecular functions
213	AT1G03220	nucleic acid binding	0003676	3376.0	nucleic acid binding
214	AT1G03230	molecular_function_unknown	0003674	3226.0	unknown molecular functions
215	AT1G03240	RNA polymerase II complex binding	0000993	35784.0	protein binding
216	AT1G03250	DNA-binding transcription activator activity, RNA polymerase II-specific	0001228	40764.0	DNA-binding transcription factor activity
217	AT1G03260	isoamylase activity	0019156	8011.0	hydrolase activity | catalytic activity
218	AT1G03270	molecular_function_unknown	0003674	3226.0	unknown molecular functions
219	AT1G03280	molecular_function_unknown	0003674	3226.0	unknown molecular functions
220	AT1G03290	protein binding	0005515	3877.0	protein binding
221	AT1G03300	molecular_function_unknown	0003674	3226.0	unknown molecular functions
222	AT1G03310	molecular_function_unknown	0003674	3226.0	unknown molecular functions
223	AT1G03320	RNA binding	0003723	1217.0	RNA binding
224	AT1G03330	molecular_function_unknown	0003674	3226.0	unknown molecular functions
225	AT1G03340	transferase activity, transferring acyl groups other than amino-acyl groups	0016747	4465.0	transferase activity
226	AT1G03350	1-aminocyclopropane-1-carboxylate oxidase activity	0009815	744.0	catalytic activity
227	AT1G03360	histidine phosphotransfer kinase activity	0009927	11964.0	transferase activity | kinase activity | catalytic activity
228	AT1G03365	protein serine/threonine phosphatase activity	0004722	3908.0	catalytic activity | hydrolase activity
229	AT1G03370	mRNA binding	0003729	3091.0	RNA binding
230	AT1G03380	actin binding	0003779	1353.0	protein binding
231	AT1G03390	protein homodimerization activity	0042803	15211.0	protein binding
232	AT1G03400	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
233	AT1G03410	RNA binding	0003723	1217.0	RNA binding
234	AT1G03430	transferase activity, transferring glycosyl groups	0016757	14916.0	transferase activity
235	AT1G03440	RNA binding	0003723	1217.0	RNA binding
236	AT1G03445	RNA binding	0003723	1217.0	RNA binding
237	AT1G03457	protein serine/threonine phosphatase activity	0004722	3908.0	catalytic activity | hydrolase activity
238	AT1G03470	molecular_function_unknown	0003674	3226.0	unknown molecular functions
239	AT1G03475	molecular_function_unknown	0003674	3226.0	unknown molecular functions
240	AT1G03495	NADPH dehydrogenase activity	0003959	1156.0	catalytic activity
241	AT1G03510	N-acetyltransferase activity	0008080	1124.0	transferase activity
242	AT1G03520	molecular_function_unknown	0003674	3226.0	unknown molecular functions
243	AT1G03530	molecular_function_unknown	0003674	3226.0	unknown molecular functions
244	AT1G03540	protein disulfide oxidoreductase activity	0015035	3882.0	catalytic activity
245	AT1G03550	tRNA-uridine aminocarboxypropyltransferase activity	0016432	4360.0	transferase activity | catalytic activity
246	AT1G03560	4 iron, 4 sulfur cluster binding	0051539	21612.0	other binding
247	AT1G03590	cysteine-type peptidase activity	0008234	2043.0	hydrolase activity | catalytic activity
248	AT1G03600	molecular_function_unknown	0003674	3226.0	unknown molecular functions
249	AT1G03610	RNA polymerase II CTD heptapeptide repeat kinase activity	0008353	1306.0	transferase activity | kinase activity | catalytic activity
250	AT1G03620	phosphatase inhibitor activity	0019212	9655.0	enzyme regulator activity
251	AT1G03630	protein binding	0005515	3877.0	protein binding
252	AT1G03650	protein kinase activator activity	0030295	8568.0	enzyme regulator activity
253	AT1G03660	protein binding	0005515	3877.0	protein binding
254	AT1G03670	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
255	AT1G03680	molecular_function_unknown	0003674	3226.0	unknown molecular functions
256	AT1G03687	molecular_function_unknown	0003674	3226.0	unknown molecular functions
257	AT1G03710	GTP binding	0005525	1035.0	other binding | nucleotide binding
258	AT1G03730	protein binding	0005515	3877.0	protein binding
259	AT1G03740	electron transfer activity	0009055	2223.0	catalytic activity
260	AT1G03750	protein binding	0005515	3877.0	protein binding
261	AT1G03760	nutrient reservoir activity	0045735	12447.0	other molecular functions
262	AT1G03770	nutrient reservoir activity	0045735	12447.0	other molecular functions
263	AT1G03780	protein binding	0005515	3877.0	protein binding
264	AT1G03790	ATPase activity	0016887	907.0	hydrolase activity
265	AT1G03800	protein binding	0005515	3877.0	protein binding
266	AT1G03820	kinase activity	0016301	2953.0	kinase activity
267	AT1G03830	protein serine/threonine/tyrosine kinase activity	0004712	3912.0	transferase activity | kinase activity | catalytic activity
268	AT1G03840	transferase activity, transferring acyl groups other than amino-acyl groups	0016747	4465.0	transferase activity
269	AT1G03850	calcium ion binding	0005509	1755.0	other binding
270	AT1G03860	protein binding	0005515	3877.0	protein binding
271	AT1G03870	glutathione gamma-glutamylcysteinyltransferase activity	0016756	2541.0	transferase activity | catalytic activity
272	AT1G03900	molecular_function_unknown	0003674	3226.0	unknown molecular functions
273	AT1G03905	flavin adenine dinucleotide binding	0050660	17564.0	other binding | nucleotide binding
274	AT1G03910	molecular_function_unknown	0003674	3226.0	unknown molecular functions
275	AT1G03920	phosphatidylcholine-sterol O-acyltransferase activity	0004607	3657.0	transferase activity
276	AT1G03930	ubiquitin-protein transferase activity	0004842	4573.0	catalytic activity | transferase activity
277	AT1G03940	molecular_function_unknown	0003674	3226.0	unknown molecular functions
278	AT1G03950	acid phosphatase activity	0003993	1343.0	hydrolase activity
279	AT1G03960	zinc ion binding	0008270	4661.0	other binding
280	AT1G03970	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	0015450	3913.0	transporter activity
281	AT1G03980	molecular_function_unknown	0003674	3226.0	unknown molecular functions
282	AT1G03990	protein binding	0005515	3877.0	protein binding
283	AT1G04000	molecular_function_unknown	0003674	3226.0	unknown molecular functions
284	AT1G04010	serine-type endopeptidase activity	0004252	4112.0	hydrolase activity | catalytic activity
285	AT1G04020	ATPase-coupled transmembrane transporter activity	0042626	14104.0	transporter activity
286	AT1G04030	Hsp90 protein binding	0051879	22743.0	protein binding
287	AT1G04040	microfilament motor activity	0000146	3213.0	motor activity
288	AT1G04050	translation initiation factor activity	0003743	4485.0	translation factor activity, RNA binding
289	AT1G04070	N,N-dimethylaniline monooxygenase activity	0004499	2165.0	catalytic activity
290	AT1G04080	Hsp90 protein binding	0051879	22743.0	protein binding
291	AT1G04090	molecular_function_unknown	0003674	3226.0	unknown molecular functions
292	AT1G04100	ATP binding	0005524	894.0	nucleotide binding | other binding
293	AT1G04105	3-oxo-arachidoyl-CoA synthase activity	0102336	51888.0	transferase activity
294	AT1G04110	molecular_function_unknown	0003674	3226.0	unknown molecular functions
295	AT1G04120	identical protein binding	0042802	15210.0	protein binding
296	AT1G04130	protein binding	0005515	3877.0	protein binding
297	AT1G04140	protein binding	0005515	3877.0	protein binding
298	AT1G04160	structural constituent of ribosome	0003735	4271.0	structural molecule activity
299	AT1G04170	NAD+ kinase activity	0003951	1140.0	transferase activity | kinase activity
300	AT1G04180	acyl-CoA hydrolase activity	0047617	16032.0	hydrolase activity
301	AT1G04190	protein binding	0005515	3877.0	protein binding
302	AT1G04200	identical protein binding	0042802	15210.0	protein binding
303	AT1G04210	protein binding	0005515	3877.0	protein binding
304	AT1G04220	molecular_function_unknown	0003674	3226.0	unknown molecular functions
305	AT1G04230	2-oxoglutarate-dependent dioxygenase activity	0016706	3496.0	catalytic activity
306	AT1G04240	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
307	AT1G04250	2-oxoglutarate-dependent dioxygenase activity	0016706	3496.0	catalytic activity
308	AT1G04260	FAD binding	0071949	35892.0	nucleotide binding | other binding
309	AT1G04270	protein binding	0005515	3877.0	protein binding
310	AT1G04280	protein serine/threonine kinase activity	0004674	3907.0	catalytic activity | kinase activity | transferase activity
311	AT1G04290	protein binding	0005515	3877.0	protein binding
312	AT1G04300	protein binding	0005515	3877.0	protein binding
313	AT1G04310	molecular_function_unknown	0003674	3226.0	unknown molecular functions
314	AT1G04330	mRNA binding	0003729	3091.0	RNA binding
315	AT1G04340	molecular_function_unknown	0003674	3226.0	unknown molecular functions
316	AT1G04350	molecular_function_unknown	0003674	3226.0	unknown molecular functions
317	AT1G04360	ubiquitin-protein transferase activity	0004842	4573.0	catalytic activity | transferase activity
318	AT1G04370	molecular_function_unknown	0003674	3226.0	unknown molecular functions
319	AT1G04380	identical protein binding	0042802	15210.0	protein binding
320	AT1G04390	molecular_function_unknown	0003674	3226.0	unknown molecular functions
321	AT1G04400	molecular_function_unknown	0003674	3226.0	unknown molecular functions
322	AT1G04410	molecular_function_unknown	0003674	3226.0	unknown molecular functions
323	AT1G04420	benzaldehyde dehydrogenase (NAD+) activity	0018479	8390.0	catalytic activity
324	AT1G04430	molecular_function_unknown	0003674	3226.0	unknown molecular functions
325	AT1G04440	actin filament binding	0051015	18617.0	protein binding | other binding
326	AT1G04445	NADP binding	0050661	17565.0	nucleotide binding
327	AT1G04480	7-hydroxymethyl chlorophyll a reductase activity	0090415	39187.0	catalytic activity
328	AT1G04490	RNA-DNA hybrid ribonuclease activity	0004523	4049.0	catalytic activity | nuclease activity
329	AT1G04500	NADH dehydrogenase (ubiquinone) activity	0008137	1152.0	catalytic activity
330	AT1G04510	ribonuclease P activity	0004526	4053.0	nuclease activity | catalytic activity
331	AT1G04520	lipoyl(octanoyl) transferase activity	0033819	28597.0	transferase activity
332	AT1G04530	molecular_function_unknown	0003674	3226.0	unknown molecular functions
333	AT1G04540	protein binding	0005515	3877.0	protein binding
334	AT1G04550	molecular_function_unknown	0003674	3226.0	unknown molecular functions
335	AT1G04555	molecular_function_unknown	0003674	3226.0	unknown molecular functions
336	AT1G04570	lyase activity	0016829	3071.0	catalytic activity
337	AT1G04580	protein kinase activity	0004672	3889.0	catalytic activity | transferase activity | kinase activity
338	AT1G04590	protein binding	0005515	3877.0	protein binding
339	AT1G04600	ATP binding	0005524	894.0	other binding | nucleotide binding
340	AT1G04620	protein binding	0005515	3877.0	protein binding
341	AT1G04625	molecular_function_unknown	0003674	3226.0	unknown molecular functions
342	AT1G04630	molecular_function_unknown	0003674	3226.0	unknown molecular functions
343	AT1G04635	ubiquitin protein ligase activity	0061630	45660.0	catalytic activity | transferase activity
344	AT1G04640	molecular_function_unknown	0003674	3226.0	unknown molecular functions
345	AT1G04645	endopeptidase activity	0004175	2240.0	hydrolase activity | catalytic activity
346	AT1G04650	mRNA binding	0003729	3091.0	RNA binding
347	AT1G04680	Rab GTPase binding	0017137	8668.0	protein binding
348	AT1G04690	zinc ion binding	0008270	4661.0	other binding
349	AT1G04700	thiol-dependent ubiquitin-specific protease activity	0004843	4576.0	catalytic activity | hydrolase activity
350	AT1G04710	protein-arginine omega-N monomethyltransferase activity	0035241	19193.0	catalytic activity | transferase activity
351	AT1G04730	transcription factor binding	0008134	4450.0	protein binding
352	AT1G04750	molecular_function_unknown	0003674	3226.0	unknown molecular functions
353	AT1G04760	protein-arginine omega-N symmetric methyltransferase activity	0035243	19194.0	catalytic activity | transferase activity
354	AT1G04770	transferase activity, transferring glycosyl groups	0016757	14916.0	transferase activity
355	AT1G04778	sucrose synthase activity	0016157	4294.0	transferase activity
356	AT1G04780	protein binding	0005515	3877.0	protein binding
357	AT1G04790	protein heterodimerization activity	0046982	15254.0	protein binding
358	AT1G04800	molecular_function_unknown	0003674	3226.0	unknown molecular functions
359	AT1G04810	lipopolysaccharide binding	0001530	3031.0	lipid binding | other binding
360	AT1G04820	protein disulfide isomerase activity	0003756	3881.0	catalytic activity
361	AT1G04830	molecular_function_unknown	0003674	3226.0	unknown molecular functions
362	AT1G04840	mRNA binding	0003729	3091.0	RNA binding
363	AT1G04850	phosphatase activity	0016791	3735.0	hydrolase activity
364	AT1G04860	dioxygenase activity	0051213	19457.0	catalytic activity
365	AT1G04870	1-phosphatidylinositol binding	0005545	3669.0	other binding | lipid binding
366	AT1G04880	carbohydrate transmembrane transporter activity	0015144	1797.0	transporter activity
